,index,actor1,actor2,total_events_acled
0,Protesters (Myanmar),6386.0,8.0,6394.0
1,Military Forces of Myanmar (2021-),4267.0,1581.0,5848.0
2,Unidentified Armed Group (Myanmar),2534.0,103.0,2637.0
3,Military Forces of Myanmar (2016-2021),1847.0,114.0,1961.0
4,KIO/KIA: Kachin Independence Organization/Kachin Independence Army,289.0,427.0,716.0
5,Civilians (Myanmar),234.0,4981.0,5215.0
6,Police Forces of Myanmar (2021-),200.0,499.0,699.0
7,RCSS/SSA-S: Restoration Council of Shan State/Shan State Army-South,156.0,138.0,294.0
8,Rioters (Myanmar),143.0,20.0,163.0
9,ULA/AA: United League of Arakan/Arakan Army,112.0,852.0,964.0
10,PSLF/TNLA: Palaung State Liberation Front/Ta'ang National Liberation Army,92.0,226.0,318.0
11,People's Defense Force - Local Group,74.0,67.0,141.0
12,KNU/KNLA: Karen National Union/Karen National Liberation Army,67.0,172.0,239.0
13,SSPP/SSA-N: Shan State Progress Party/Shan State Army-North,59.0,55.0,114.0
14,Government of Myanmar (2021-) State Administration Council,54.0,3.0,57.0
15,CDF: Chinland Defense Force,52.0,84.0,136.0
16,MNTJP/MNDAA: Myanmar National Truth and Justice Party/Myanmar National Democratic Alliance Army,37.0,104.0,141.0
17,Police Forces of Myanmar (2016-2021),35.0,47.0,82.0
18,People's Defense Force - Beikthano,33.0,0.0,33.0
19,Pyu Saw Htee,31.0,71.0,102.0
20,People's Defense Force - Yesagyo,31.0,2.0,33.0
21,Police Forces of Myanmar (2016-2021) Border Guard Police,28.0,7.0,35.0
22,Military Forces of Myanmar (2021-) Border Guard Force,28.0,12.0,40.0
23,Unidentified Local Defense Forces (Myanmar),28.0,48.0,76.0
24,People's Defense Force - Kalay,27.0,12.0,39.0
25,King Cobra-Khin U,25.0,0.0,25.0
26,YDF: Yaw Defense Force,24.0,4.0,28.0
27,People's Defense Force - Pale,21.0,10.0,31.0
28,Government of Myanmar (2016-),21.0,0.0,21.0
29,YPDF: Ye People's Defense Force,19.0,1.0,20.0
30,People's Defense Force - Pauk,17.0,2.0,19.0
31,Brotherhood Alliance,17.0,33.0,50.0
32,People's Defense Force - South Monywa,15.0,0.0,15.0
33,Military Forces of Myanmar (2021-) People's Militia Force,15.0,17.0,32.0
34,People's Defense Force - Myaing,15.0,2.0,17.0
35,ARA: Ayadaw Revolutionary Alliance,14.0,0.0,14.0
36,People's Defense Force - Monywa,14.0,3.0,17.0
37,KNDF: Karenni Nationalities Defense Force,14.0,36.0,50.0
38,People's Defense Force - Pekon,13.0,5.0,18.0
39,CGF-HTY: Civil Guerrilla Force-HTY,13.0,1.0,14.0
40,People's Defense Force - Tigyaing,13.0,1.0,14.0
41,People's Defense Force - Khin-U,12.0,0.0,12.0
42,People's Defense Force - Chaung-U,12.0,1.0,13.0
43,People's Defense Force - Kani,12.0,11.0,23.0
44,PDF: People's Defense Force,12.0,9.0,21.0
45,People's Defense Force - Nay Pyi Taw,11.0,1.0,12.0
46,Military Forces of Myanmar (2016-2021) People's Militia Force,11.0,5.0,16.0
47,People's Defense Force - Bago,11.0,0.0,11.0
48,KNPP/KA: Karenni National Progressive Party/Karenni Army,11.0,52.0,63.0
49,PRA: People's Revolution Army,11.0,5.0,16.0
50,People's Defense Force - Saw Township,11.0,5.0,16.0
51,CNF/CNA: Chin National Front/Chin National Army,10.0,2.0,12.0
52,People's Defense Force - Gangaw,10.0,2.0,12.0
53,Zero Guerrilla Force,10.0,0.0,10.0
54,People's Defense Force - Yinmarbin,9.0,2.0,11.0
55,People's Defense Force - Mandalay,9.0,1.0,10.0
56,People's Defense Force - Myaung,8.0,5.0,13.0
57,People's Defense Force - Budalin,8.0,0.0,8.0
58,TPC: Taze People Comrades,8.0,0.0,8.0
59,People's Defense Force - Tabayin,7.0,5.0,12.0
60,People's Defense Force - Mingin,7.0,8.0,15.0
61,G-20 UBPO: G-20 Urban Burma Phoenix Organization,7.0,0.0,7.0
62,GZP-Mandalay: Generation Z Power (Mandalay),7.0,0.0,7.0
63,People's Defense Force - Bago Region,7.0,0.0,7.0
64,People's Defense Force - Kawlin,7.0,2.0,9.0
65,Hnalone Hla Lu Maik Gyi Mya A Phwe: Big Beautiful Hearted Hoodlums,7.0,0.0,7.0
66,SNA: Shanni Nationalities Army,7.0,8.0,15.0
67,DGWCF: Delta Guerrilla Warfare Collective Forces,6.0,0.0,6.0
68,FTR: Free Tiger Rangers,6.0,0.0,6.0
69,People's Defense Force - Kanbalu,6.0,0.0,6.0
70,Ayeyar 14,6.0,0.0,6.0
71,Phaung Daing Phaung Daing Group,6.0,0.0,6.0
72,ARSA: Arakan Rohingya Salvation Army,6.0,15.0,21.0
73,DKBA (Buddhist): Democratic Karen Buddhist Army (2016-),6.0,8.0,14.0
74,CNO/CNDF: Chin National Organization/Chin National Defense Force,6.0,1.0,7.0
75,NMSP/MNLA: New Mon State Party/Mon National Liberation Army,6.0,11.0,17.0
76,TTA: Taungtha Youth Guerrilla Force,6.0,0.0,6.0
77,PAFD: People's Army to Fight Dictatorship,6.0,0.0,6.0
78,Myinmu Hlatsit Pyaukkyar: Myinmu Lighting Guerrilla Force,6.0,0.0,6.0
79,People's Defense Force - Pakokku,6.0,0.0,6.0
80,People's Defense Force - Tamu,6.0,3.0,9.0
81,MHG: Monywa Heroes Group,5.0,0.0,5.0
82,People's Defense Force - Shwebo,5.0,0.0,5.0
83,Kanbalu UG: Kanbalu Underground Warriors,5.0,0.0,5.0
84,KPDF: Karenni People's Defense Force,5.0,17.0,22.0
85,People's Defense Force - Taze,5.0,1.0,6.0
86,UWSP/UWSA: United Wa State Party/United Wa State Army,5.0,3.0,8.0
87,People's Defense Force - Kyaukhtu,5.0,0.0,5.0
88,21KPG: 21 Guerrilla Force - Kyaukpadaung,5.0,0.0,5.0
89,YSTF: Ye Special Task Forces,5.0,0.0,5.0
90,People's Defense Force - Demoso,5.0,12.0,17.0
91,ZRA: Zomi Revolutionary Army,5.0,0.0,5.0
92,HRDF: Hlaingtharya Region Defense Force,4.0,0.0,4.0
93,People's Defense Force - Hlegu,4.0,0.0,4.0
94,PSTF: Pathein Special Task Force,4.0,1.0,5.0
95,CAF-MGPDF: Central Armed Forces,4.0,0.0,4.0
96,Military Forces of Myanmar (2016-2021) Border Guard Force,4.0,4.0,8.0
97,ACPLF: Anti-Coup People's Liberation Force,4.0,0.0,4.0
98,Baydar from Ayeyar,4.0,0.0,4.0
99,People's Defense Force - Htilin (Yaw),4.0,0.0,4.0
100,Anti-Fascist Armed Force,4.0,0.0,4.0
101,People's Defense Force - Yenangyaung,4.0,0.0,4.0
102,No Chair Guerrilla Group,4.0,0.0,4.0
103,PUGF: Pyay Underground Force,4.0,0.0,4.0
104,Zomi Federal Union/People's Defense Force - Zoland,4.0,1.0,5.0
105,People's Defense Force - Ye-U,4.0,0.0,4.0
106,People's Defense Force - Magway,4.0,0.0,4.0
107,People's Defense Force - Thein Za Yat,4.0,1.0,5.0
108,People's Defense Force - Mawlamyine,3.0,0.0,3.0
109,KRDA: Kalay Region Defence Association,3.0,2.0,5.0
110,People's Defense Force - Yangon,3.0,0.0,3.0
111,People's Defense Force - Myingyan,3.0,1.0,4.0
112,27 Revolution Forces,3.0,0.0,3.0
113,People's Defense Force - Katha,3.0,3.0,6.0
114,KDDF: Kyaukse District Defense Force,3.0,0.0,3.0
115,People's Defense Force - Minhla,3.0,0.0,3.0
116,People's Defense Force - Moe Bye,3.0,5.0,8.0
117,DKDF: Dragon Kyaukse Defense Force,3.0,0.0,3.0
118,PNO/PNA: Pa-Oh National Organization/Pa-Oh National Army,3.0,0.0,3.0
119,Taze Tiger,3.0,0.0,3.0
120,Mon State People's Defense Force,3.0,0.0,3.0
121,People's Defense Force - Launglon,3.0,0.0,3.0
122,People's Defense Force - Kyaukpadaung,3.0,0.0,3.0
123,PWDF: Pathein Western Defence Force,3.0,0.0,3.0
124,NA-B: Northern Alliance,3.0,18.0,21.0
125,People's Defense Force - Kawhmu,3.0,0.0,3.0
126,Ngazun's HEROS,3.0,0.0,3.0
127,LPDF-Sintgaing: Local People's Defense Force Sintgaing,3.0,0.0,3.0
128,People's Defense Force - Nyaung-U,3.0,0.0,3.0
129,CDSOM: Civilians Defense Security Organization Myaung,3.0,2.0,5.0
