,,year,Actor,Total_Events
actor1,0,2018,Military Forces of Myanmar (2016-2021),64
actor1,1,2018,Protesters (Myanmar),31
actor1,2,2018,RCSS/SSA-S: Restoration Council of Shan State/Shan State Army-South,16
actor1,3,2018,Unidentified Armed Group (Myanmar),14
actor1,4,2018,KIO/KIA: Kachin Independence Organization/Kachin Independence Army,2
actor1,5,2018,Rioters (Myanmar),2
actor1,6,2018,Military Forces of Myanmar (2016-2021) People's Militia Force,1
actor1,7,2018,Police Forces of Myanmar (2016-2021),1
actor1,8,2018,Police Forces of Myanmar (2016-2021) Prison Guards,1
actor1,9,2018,Rohingya Muslim Militia (Myanmar),1
actor1,10,2018,Unidentified Armed Group (Bangladesh),1
actor1,11,2019,Military Forces of Myanmar (2016-2021),915
actor1,12,2019,Protesters (Myanmar),447
actor1,13,2019,Unidentified Armed Group (Myanmar),235
actor1,14,2019,ULA/AA: United League of Arakan/Arakan Army,45
actor1,15,2019,RCSS/SSA-S: Restoration Council of Shan State/Shan State Army-South,37
actor1,16,2019,Police Forces of Myanmar (2016-2021),24
actor1,17,2019,Police Forces of Myanmar (2016-2021) Border Guard Police,17
actor1,18,2019,Brotherhood Alliance,16
actor1,19,2019,Rioters (Myanmar),16
actor1,20,2019,KNU/KNLA: Karen National Union/Karen National Liberation Army,10
actor1,21,2019,PSLF/TNLA: Palaung State Liberation Front/Ta'ang National Liberation Army,9
actor1,22,2019,Government of Myanmar (2016-),6
actor1,23,2019,UWSP/UWSA: United Wa State Party/United Wa State Army,5
actor1,24,2019,SSPP/SSA-N: Shan State Progress Party/Shan State Army-North,4
actor1,25,2019,MNTJP/MNDAA: Myanmar National Truth and Justice Party/Myanmar National Democratic Alliance Army,3
actor1,26,2019,Military Forces of Myanmar (2016-2021) Border Guard Force,3
actor1,27,2019,Military Forces of Myanmar (2016-2021) People's Militia Force,3
actor1,28,2019,NMSP/MNLA: New Mon State Party/Mon National Liberation Army,3
actor1,29,2019,DKBA (Buddhist): Democratic Karen Buddhist Army (2016-),2
actor1,30,2019,KIO/KIA: Kachin Independence Organization/Kachin Independence Army,2
actor1,31,2019,Unidentified Communal Militia (Myanmar),2
actor1,32,2019,Civilians (Myanmar),1
actor1,33,2019,Kathe Rebels (India),1
actor1,34,2019,PNO/PNA: Pa-Oh National Organization/Pa-Oh National Army,1
actor1,35,2019,PSC/NDAA-ESS: Peace and Solidarity Committee/National Democratic Alliance Army-Eastern Shan State,1
actor1,36,2019,Private Security Forces (Myanmar),1
actor1,37,2019,ULFA-I: United Liberation Front of Asom-Independent,1
actor1,38,2019,ZRA: Zomi Revolutionary Army,1
actor1,39,2020,Military Forces of Myanmar (2016-2021),842
actor1,40,2020,Unidentified Armed Group (Myanmar),247
actor1,41,2020,Protesters (Myanmar),179
actor1,42,2020,ULA/AA: United League of Arakan/Arakan Army,58
actor1,43,2020,Civilians (Myanmar),36
actor1,44,2020,PSLF/TNLA: Palaung State Liberation Front/Ta'ang National Liberation Army,28
actor1,45,2020,Rioters (Myanmar),18
actor1,46,2020,RCSS/SSA-S: Restoration Council of Shan State/Shan State Army-South,15
actor1,47,2020,Police Forces of Myanmar (2016-2021) Border Guard Police,11
actor1,48,2020,KIO/KIA: Kachin Independence Organization/Kachin Independence Army,8
actor1,49,2020,KNU/KNLA: Karen National Union/Karen National Liberation Army,7
actor1,50,2020,Police Forces of Myanmar (2016-2021),7
actor1,51,2020,Military Forces of Myanmar (2016-2021) People's Militia Force,6
actor1,52,2020,ARSA: Arakan Rohingya Salvation Army,3
actor1,53,2020,DKBA (Buddhist): Democratic Karen Buddhist Army (2016-),3
actor1,54,2020,NMSP/MNLA: New Mon State Party/Mon National Liberation Army,3
actor1,55,2020,SSPP/SSA-N: Shan State Progress Party/Shan State Army-North,3
actor1,56,2020,Government of Myanmar (2016-),2
actor1,57,2020,DKBA (Benevolent): Democratic Karen Benevolent Army (2010-),1
actor1,58,2020,KPC: KNU/KNLA Peace Council,1
actor1,59,2020,MPDF: Mon Peace Defense Force,1
actor1,60,2020,Military Forces of Myanmar (2016-2021) Border Guard Force,1
actor1,61,2020,SNA: Shanni Nationalities Army,1
actor1,62,2021,Protesters (Myanmar),5729
actor1,63,2021,Military Forces of Myanmar (2021-),4267
actor1,64,2021,Unidentified Armed Group (Myanmar),2038
actor1,65,2021,KIO/KIA: Kachin Independence Organization/Kachin Independence Army,277
actor1,66,2021,Police Forces of Myanmar (2021-),200
actor1,67,2021,Civilians (Myanmar),197
actor1,68,2021,Rioters (Myanmar),107
actor1,69,2021,RCSS/SSA-S: Restoration Council of Shan State/Shan State Army-South,88
actor1,70,2021,People's Defense Force - Local Group,74
actor1,71,2021,PSLF/TNLA: Palaung State Liberation Front/Ta'ang National Liberation Army,55
actor1,72,2021,Government of Myanmar (2021-) State Administration Council,54
actor1,73,2021,CDF: Chinland Defense Force,52
actor1,74,2021,SSPP/SSA-N: Shan State Progress Party/Shan State Army-North,52
actor1,75,2021,KNU/KNLA: Karen National Union/Karen National Liberation Army,50
actor1,76,2021,MNTJP/MNDAA: Myanmar National Truth and Justice Party/Myanmar National Democratic Alliance Army,34
actor1,77,2021,People's Defense Force - Beikthano,33
actor1,78,2021,People's Defense Force - Yesagyo,31
actor1,79,2021,Pyu Saw Htee,31
actor1,80,2021,Military Forces of Myanmar (2021-) Border Guard Force,28
actor1,81,2021,Unidentified Local Defense Forces (Myanmar),28
actor1,82,2021,People's Defense Force - Kalay,27
actor1,83,2021,Military Forces of Myanmar (2016-2021),26
actor1,84,2021,King Cobra-Khin U,25
actor1,85,2021,YDF: Yaw Defense Force,24
actor1,86,2021,People's Defense Force - Pale,21
actor1,87,2021,YPDF: Ye People's Defense Force,19
actor1,88,2021,People's Defense Force - Pauk,17
actor1,89,2021,Military Forces of Myanmar (2021-) People's Militia Force,15
actor1,90,2021,People's Defense Force - Myaing,15
actor1,91,2021,People's Defense Force - South Monywa,15
actor1,92,2021,ARA: Ayadaw Revolutionary Alliance,14
actor1,93,2021,KNDF: Karenni Nationalities Defense Force,14
actor1,94,2021,People's Defense Force - Monywa,14
actor1,95,2021,CGF-HTY: Civil Guerrilla Force-HTY,13
actor1,96,2021,Government of Myanmar (2016-),13
actor1,97,2021,People's Defense Force - Pekon,13
actor1,98,2021,People's Defense Force - Tigyaing,13
actor1,99,2021,PDF: People's Defense Force,12
actor1,100,2021,People's Defense Force - Chaung-U,12
actor1,101,2021,People's Defense Force - Kani,12
actor1,102,2021,People's Defense Force - Khin-U,12
actor1,103,2021,KNPP/KA: Karenni National Progressive Party/Karenni Army,11
actor1,104,2021,PRA: People's Revolution Army,11
actor1,105,2021,People's Defense Force - Bago,11
actor1,106,2021,People's Defense Force - Nay Pyi Taw,11
actor1,107,2021,People's Defense Force - Saw Township,11
actor1,108,2021,CNF/CNA: Chin National Front/Chin National Army,10
actor1,109,2021,People's Defense Force - Gangaw,10
actor1,110,2021,Zero Guerrilla Force,10
actor1,111,2021,People's Defense Force - Mandalay,9
actor1,112,2021,People's Defense Force - Yinmarbin,9
actor1,113,2021,ULA/AA: United League of Arakan/Arakan Army,9
actor1,114,2021,People's Defense Force - Budalin,8
actor1,115,2021,People's Defense Force - Myaung,8
actor1,116,2021,TPC: Taze People Comrades,8
actor1,117,2021,G-20 UBPO: G-20 Urban Burma Phoenix Organization,7
actor1,118,2021,GZP-Mandalay: Generation Z Power (Mandalay),7
actor1,119,2021,Hnalone Hla Lu Maik Gyi Mya A Phwe: Big Beautiful Hearted Hoodlums,7
actor1,120,2021,People's Defense Force - Bago Region,7
actor1,121,2021,People's Defense Force - Kawlin,7
actor1,122,2021,People's Defense Force - Mingin,7
actor1,123,2021,People's Defense Force - Tabayin,7
actor1,124,2021,Ayeyar 14,6
actor1,125,2021,CNO/CNDF: Chin National Organization/Chin National Defense Force,6
actor1,126,2021,DGWCF: Delta Guerrilla Warfare Collective Forces,6
actor1,127,2021,FTR: Free Tiger Rangers,6
actor1,128,2021,Myinmu Hlatsit Pyaukkyar: Myinmu Lighting Guerrilla Force,6
actor1,129,2021,PAFD: People's Army to Fight Dictatorship,6
actor1,130,2021,People's Defense Force - Kanbalu,6
actor1,131,2021,People's Defense Force - Pakokku,6
actor1,132,2021,People's Defense Force - Tamu,6
actor1,133,2021,Phaung Daing Phaung Daing Group,6
actor1,134,2021,SNA: Shanni Nationalities Army,6
actor1,135,2021,TTA: Taungtha Youth Guerrilla Force,6
actor1,136,2021,21KPG: 21 Guerrilla Force - Kyaukpadaung,5
actor1,137,2021,KPDF: Karenni People's Defense Force,5
actor1,138,2021,Kanbalu UG: Kanbalu Underground Warriors,5
actor1,139,2021,MHG: Monywa Heroes Group,5
actor1,140,2021,People's Defense Force - Demoso,5
actor1,141,2021,People's Defense Force - Kyaukhtu,5
actor1,142,2021,People's Defense Force - Shwebo,5
actor1,143,2021,People's Defense Force - Taze,5
actor1,144,2021,YSTF: Ye Special Task Forces,5
actor1,145,2021,ACPLF: Anti-Coup People's Liberation Force,4
actor1,146,2021,Anti-Fascist Armed Force,4
actor1,147,2021,Baydar from Ayeyar,4
actor1,148,2021,CAF-MGPDF: Central Armed Forces,4
actor1,149,2021,HRDF: Hlaingtharya Region Defense Force,4
actor1,150,2021,No Chair Guerrilla Group,4
actor1,151,2021,PSTF: Pathein Special Task Force,4
actor1,152,2021,PUGF: Pyay Underground Force,4
actor1,153,2021,People's Defense Force - Hlegu,4
actor1,154,2021,People's Defense Force - Htilin (Yaw),4
actor1,155,2021,People's Defense Force - Magway,4
actor1,156,2021,People's Defense Force - Thein Za Yat,4
actor1,157,2021,People's Defense Force - Ye-U,4
actor1,158,2021,People's Defense Force - Yenangyaung,4
actor1,159,2021,ZRA: Zomi Revolutionary Army,4
actor1,160,2021,Zomi Federal Union/People's Defense Force - Zoland,4
actor1,161,2021,27 Revolution Forces,3
actor1,162,2021,ARSA: Arakan Rohingya Salvation Army,3
actor1,163,2021,BDF: Bago Defend Force,3
actor1,164,2021,CDSOM: Civilians Defense Security Organization Myaung,3
actor1,165,2021,DKDF: Dragon Kyaukse Defense Force,3
actor1,166,2021,Guerrilla Dawei,3
actor1,167,2021,KDDF: Kyaukse District Defense Force,3
actor1,168,2021,KNDO: Karen National Defence Organization,3
actor1,169,2021,KRDA: Kalay Region Defence Association,3
actor1,170,2021,KRF: Kyaikto Revolution Force,3
actor1,171,2021,LPDF-Sintgaing: Local People's Defense Force Sintgaing,3
actor1,172,2021,MPDF: Myittha People's Defense Force,3
actor1,173,2021,Mon State People's Defense Force,3
actor1,174,2021,Monywa The Boys,3
actor1,175,2021,Myaing Villages Revolution Front,3
actor1,176,2021,NA-B: Northern Alliance,3
actor1,177,2021,Ngazun's HEROS,3
actor1,178,2021,PRDF: Palaw Regional Defence Force,3
actor1,179,2021,PWDF: Pathein Western Defence Force,3
actor1,180,2021,People's Defense Force - Katha,3
actor1,181,2021,People's Defense Force - Kawhmu,3
actor1,182,2021,People's Defense Force - Kyaukpadaung,3
actor1,183,2021,People's Defense Force - Kyaukse,3
actor1,184,2021,People's Defense Force - Launglon,3
actor1,185,2021,People's Defense Force - Mawlamyine,3
actor1,186,2021,People's Defense Force - Minhla,3
actor1,187,2021,People's Defense Force - Moe Bye,3
actor1,188,2021,People's Defense Force - Myingyan,3
actor1,189,2021,People's Defense Force - Nyaung-U,3
actor1,190,2021,People's Defense Force - Padaung Yoma,3
actor1,191,2021,People's Defense Force - Taunggyi,3
actor1,192,2021,People's Defense Force - Thayet,3
actor1,193,2021,People's Defense Force - Wetlet,3
actor1,194,2021,People's Defense Force - Yangon,3
actor1,195,2021,Phoenix Defense Force,3
actor1,196,2021,Police Forces of Myanmar (2016-2021),3
actor1,197,2021,Special Force Paung,3
actor1,198,2021,Taze Tiger,3
actor1,199,2021,YPDF: Yaw People's Defense Force,3
actor1,200,2021,44st-UG,2
actor1,201,2021,BFRAF: Burma Final Revolution Armed Forces,2
actor1,202,2021,Bagan-Nyaung Oo People's Defense Force,2
actor1,203,2021,Black Eagle Defense Force-MMU,2
actor1,204,2021,DGRF: Dawei Guerrilla Revolution Force,2
