,,year,Actor,Total_Events
side_a,0,2011,Government of Myanmar (Burma),263
side_a,1,2012,Government of Myanmar (Burma),67
side_a,2,2012,Buddhists (Myanmar),10
side_a,3,2013,Government of Myanmar (Burma),78
side_a,4,2013,Buddhists (Myanmar),8
side_a,5,2014,Government of Myanmar (Burma),33
side_a,6,2014,Buddhists (Myanmar),2
side_a,7,2015,Government of Myanmar (Burma),198
side_a,8,2016,Government of Myanmar (Burma),56
side_a,9,2016,ARSA,1
side_a,10,2017,Government of Myanmar (Burma),74
side_a,11,2017,ARSA,14
side_a,12,2018,Government of Myanmar (Burma),71
side_a,13,2019,Government of Myanmar (Burma),147
side_b,0,2011,KNU,109
side_b,1,2011,Civilians,57
side_b,2,2011,KIO,57
side_b,3,2011,SSPP,22
side_b,4,2011,DKBA 5,8
side_b,5,2011,RCSS,8
side_b,6,2011,NSCN-K,1
side_b,7,2011,UWSA,1
side_b,8,2012,KIO,41
side_b,9,2012,Civilians,17
side_b,10,2012,Muslims (Myanmar),10
side_b,11,2012,RCSS,4
side_b,12,2012,KNPP,3
side_b,13,2012,KNU,1
side_b,14,2012,RSO,1
side_b,15,2013,KIO,34
side_b,16,2013,Civilians,16
side_b,17,2013,RCSS,9
side_b,18,2013,Muslims (Myanmar),8
side_b,19,2013,PSLF,8
side_b,20,2013,SSPP,6
side_b,21,2013,DKBA 5,4
side_b,22,2013,NMSP,1
side_b,23,2014,KIO,10
side_b,24,2014,PSLF,8
side_b,25,2014,Civilians,4
side_b,26,2014,DKBA 5,4
side_b,27,2014,KNU,2
side_b,28,2014,MNDAA,2
side_b,29,2014,Muslims (Myanmar),2
side_b,30,2014,RSO,2
side_b,31,2014,SSPP,1
side_b,32,2015,MNDAA,60
side_b,33,2015,KIO,44
side_b,34,2015,PSLF,42
side_b,35,2015,Civilians,19
side_b,36,2015,RCSS,10
side_b,37,2015,SSPP,8
side_b,38,2015,DKBA 5,6
side_b,39,2015,KNU,4
side_b,40,2015,ULA,4
side_b,41,2015,UWSA,1
side_b,42,2016,Civilians,16
side_b,43,2016,KIO,16
side_b,44,2016,ARSA,11
side_b,45,2016,PSLF,5
side_b,46,2016,SSPP,4
side_b,47,2016,ULA,4
side_b,48,2016,RCSS,1
side_b,49,2017,Civilians,48
side_b,50,2017,ARSA,13
side_b,51,2017,PSLF,13
side_b,52,2017,KIO,7
side_b,53,2017,ULA,4
side_b,54,2017,MNDAA,2
side_b,55,2017,KNPP,1
side_b,56,2018,KIO,24
side_b,57,2018,PSLF,18
side_b,58,2018,ULA,15
side_b,59,2018,Civilians,4
side_b,60,2018,KNU,4
side_b,61,2018,RCSS,3
side_b,62,2018,MNDAA,2
side_b,63,2018,SSPP,1
side_b,64,2019,ULA,97
side_b,65,2019,PSLF,27
side_b,66,2019,Civilians,11
side_b,67,2019,KIO,8
side_b,68,2019,KNU,1
side_b,69,2019,MNDAA,1
side_b,70,2019,NMSP,1
side_b,71,2019,SSPP,1
