,side_a,side_b,total_events_ucdp
Government of Myanmar (Burma),2686.0,0.0,2686.0
DKBA,35.0,0.0,35.0
Buddhists (Myanmar),25.0,0.0,25.0
ARSA,15.0,24.0,39.0
MTA,9.0,30.0,39.0
RCSS,7.0,122.0,129.0
MDA,1.0,0.0,1.0
Civilians,0.0,1416.0,1416.0
KNU,0.0,367.0,367.0
KIO,0.0,252.0,252.0
ULA,0.0,124.0,124.0
PSLF,0.0,124.0,124.0
MNDAA,0.0,76.0,76.0
KNPP,0.0,64.0,64.0
SSPP,0.0,44.0,44.0
DKBA 5,0.0,31.0,31.0
UWSA,0.0,26.0,26.0
Muslims (Myanmar),0.0,25.0,25.0
NSCN-K,0.0,18.0,18.0
RSO,0.0,16.0,16.0
NMSP,0.0,10.0,10.0
ABSDF,0.0,5.0,5.0
God's Army,0.0,2.0,2.0
BMA,0.0,1.0,1.0
MDA - LM,0.0,1.0,1.0
