,doc_id,agreement_id,sentence_number,entity_type,entity_named,entity_affiliated_org,entity_affiliated_org_abr
0,0,1321,0,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF
1,0,1321,0, ORG , Chinland Guardian, Chinland Guardian,
2,0,1321,0,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF
3,0,1321,0, ORG , Peace Committee Burma, Peace Committee Burma,
4,0,1321,0, GPE , Rangoon, Rangoon,
5,0,1321,1,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF
6,0,1321,1, ORG , Peace Working Committee, Peace Working Committee,
7,0,1321,1, ORG , Peace Talks , Peace Talks ,
8,0,1321,1, ORG , Union Burma, Union Burma,
9,0,1321,1,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF
10,0,1321,1,ORG,Union Peace Dialogue Joint Committee (UPDJC),Union Peace Dialogue Joint Committee (UPDJC),UPDJC
11,0,1321,1, ORG , Union, Union,KNU/KNLA
12,0,1321,1, ORG , Panglong, Panglong,
13,0,1321,1,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF
14,0,1321,1,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF
15,0,1321,1, GPE , Hakha, Hakha,
16,0,1321,1, GPE , Chin State, Chin State,
17,0,1321,1,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF
18,0,1321,1,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF
19,0,1321,1, GPE , Chin State, Chin State,
20,0,1321,1, ORG , Tranquility, Tranquility,
21,0,1321,2,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF
22,0,1321,2, ORG , Non - disintegration, Non - disintegration,
23,0,1321,2, ORG , Union, Union,KNU/KNLA
24,0,1321,2, ORG , National Solidarity Perpetuation Sovereignty, National Solidarity Perpetuation Sovereignty,
25,0,1321,3,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF
26,0,1321,3,ORG,Union Peace Dialogue Joint Committee (UPDJC),Union Peace Dialogue Joint Committee (UPDJC),UPDJC
27,0,1321,3, ORG , Tranquility Committee, Tranquility Committee,
28,0,1321,3, ORG , Peace Facilitating Committee, Peace Facilitating Committee,
29,0,1321,4, ORG , Union Burma, Union Burma,
