,doc_id,agreement_id,sentence_number,entity_type,entity_named,entity_affiliated_org,entity_affiliated_org_abr
0,0,1321,0,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF
2,0,1321,0,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF
5,0,1321,1,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF
9,0,1321,1,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF
10,0,1321,1,ORG,Union Peace Dialogue Joint Committee (UPDJC),Union Peace Dialogue Joint Committee (UPDJC),UPDJC
13,0,1321,1,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF
14,0,1321,1,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF
17,0,1321,1,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF
18,0,1321,1,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF
21,0,1321,2,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF
25,0,1321,3,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF
26,0,1321,3,ORG,Union Peace Dialogue Joint Committee (UPDJC),Union Peace Dialogue Joint Committee (UPDJC),UPDJC
36,0,1321,6,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF
37,0,1321,7,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF
38,0,1321,7,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF
41,0,1321,8,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF
43,0,1321,8,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF
44,0,1321,8,ORG,Government of the Republic of the Union of Myanmar,Government of the Republic of the Union of Myanmar,Gov. of Myanmar
45,0,1321,10,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF
46,0,1321,10,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF
47,0,1321,10,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF
49,0,1321,11,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF
50,0,1321,11,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF
56,0,1321,19,ORG,Union Peace Dialogue Joint Committee (UPDJC),Union Peace Dialogue Joint Committee (UPDJC),UPDJC
57,0,1321,19,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF
65,0,1321,21,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF
66,0,1321,23,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF
69,0,1321,25,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF
70,0,1321,27,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF
71,0,1321,27,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF
72,0,1321,27,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF
74,0,1321,27,ORG,Government of the Republic of the Union of Myanmar,Government of the Republic of the Union of Myanmar,Gov. of Myanmar
75,0,1321,29,ORG,Government of the Republic of the Union of Myanmar,Government of the Republic of the Union of Myanmar,Gov. of Myanmar
76,0,1321,29,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF
77,0,1321,30,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF
79,0,1321,32,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF
80,0,1321,32,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF
81,0,1321,32,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF
82,0,1321,32,ORG,Government of the Republic of the Union of Myanmar,Government of the Republic of the Union of Myanmar,Gov. of Myanmar
83,0,1321,32,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF
84,0,1321,35,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF
85,0,1321,35,ORG,Government of the Republic of the Union of Myanmar,Government of the Republic of the Union of Myanmar,Gov. of Myanmar
86,0,1321,35,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF
88,0,1321,35,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF
90,0,1321,35,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF
91,0,1321,37,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF
93,0,1321,39,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF
95,0,1321,41,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF
99,0,1321,45,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF
100,0,1321,45,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF
102,0,1321,50,ORG,Government of the Republic of the Union of Myanmar,Government of the Republic of the Union of Myanmar,Gov. of Myanmar
104,0,1321,52,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF
106,0,1321,54,ORG,Government of the Republic of the Union of Myanmar,Government of the Republic of the Union of Myanmar,Gov. of Myanmar
107,0,1321,54,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF
108,0,1321,54,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF
109,0,1321,62,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF
111,0,1321,64,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF
113,0,1321,64,ORG,Government of the Republic of the Union of Myanmar,Government of the Republic of the Union of Myanmar,Gov. of Myanmar
114,0,1321,64,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF
115,0,1321,64,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF
123,1,1436,0,ORG,Ethnic Armed Organizations (EAO),Ethnic Armed Organizations (EAO),EAO
124,1,1436,0,ORG,Government of the Republic of the Union of Myanmar,Government of the Republic of the Union of Myanmar,Gov. of Myanmar
125,1,1436,0,ORG,Ethnic Armed Organizations (EAO),Ethnic Armed Organizations (EAO),EAO
131,1,1436,6,ORG,Tatmadaw,Tatmadaw,Tatmadaw
136,1,1436,17,ORG,Ethnic Armed Organizations (EAO),Ethnic Armed Organizations (EAO),EAO
139,1,1436,22,ORG,Ethnic Armed Organizations (EAO),Ethnic Armed Organizations (EAO),EAO
140,1,1436,23,ORG,Ethnic Armed Organizations (EAO),Ethnic Armed Organizations (EAO),EAO
142,1,1436,23,ORG,Ethnic Armed Organizations (EAO),Ethnic Armed Organizations (EAO),EAO
143,1,1436,25,ORG,Tatmadaw,Tatmadaw,Tatmadaw
145,1,1436,27,ORG,Joint Ceasefire Monitoring Committee (JCMC),Joint Ceasefire Monitoring Committee (JCMC),JCMC
146,1,1436,29,ORG,Tatmadaw,Tatmadaw,Tatmadaw
148,1,1436,35,ORG,Government of the Republic of the Union of Myanmar,Government of the Republic of the Union of Myanmar,Gov. of Myanmar
149,1,1436,43,ORG,Ethnic Armed Organizations (EAO),Ethnic Armed Organizations (EAO),EAO
150,1,1436,45,ORG,Tatmadaw,Tatmadaw,Tatmadaw
151,1,1436,45,ORG,Ethnic Armed Organizations (EAO),Ethnic Armed Organizations (EAO),EAO
152,1,1436,48,ORG,Ethnic Armed Organizations (EAO),Ethnic Armed Organizations (EAO),EAO
153,1,1436,52,ORG,Tatmadaw,Tatmadaw,Tatmadaw
154,1,1436,55,ORG,Tatmadaw,Tatmadaw,Tatmadaw
159,1,1436,77,ORG,Ethnic Armed Organizations (EAO),Ethnic Armed Organizations (EAO),EAO
160,1,1436,77,ORG,Ethnic Armed Organizations (EAO),Ethnic Armed Organizations (EAO),EAO
162,1,1436,77,ORG,Government of the Republic of the Union of Myanmar,Government of the Republic of the Union of Myanmar,Gov. of Myanmar
163,1,1436,82,ORG,Joint Ceasefire Monitoring Committee (JCMC),Joint Ceasefire Monitoring Committee (JCMC),JCMC
