,doc_id,agreement_id,sentence_number,entity_type,entity_named,entity_affiliated_org,entity_affiliated_org_abr,NER
0,0.0,1321,0.0,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
2,0.0,1321,0.0,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
5,0.0,1321,1.0,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
9,0.0,1321,1.0,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
10,0.0,1321,1.0,ORG,Union Peace Dialogue Joint Committee (UPDJC),Union Peace Dialogue Joint Committee (UPDJC),UPDJC,SpaCy
13,0.0,1321,1.0,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
14,0.0,1321,1.0,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
17,0.0,1321,1.0,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
18,0.0,1321,1.0,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
21,0.0,1321,2.0,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
25,0.0,1321,3.0,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
26,0.0,1321,3.0,ORG,Union Peace Dialogue Joint Committee (UPDJC),Union Peace Dialogue Joint Committee (UPDJC),UPDJC,SpaCy
36,0.0,1321,6.0,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
37,0.0,1321,7.0,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
38,0.0,1321,7.0,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
41,0.0,1321,8.0,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
43,0.0,1321,8.0,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
44,0.0,1321,8.0,ORG,Government of the Republic of the Union of Myanmar,Government of the Republic of the Union of Myanmar,Gov. of Myanmar,SpaCy
45,0.0,1321,10.0,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
46,0.0,1321,10.0,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
47,0.0,1321,10.0,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
49,0.0,1321,11.0,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
50,0.0,1321,11.0,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
56,0.0,1321,19.0,ORG,Union Peace Dialogue Joint Committee (UPDJC),Union Peace Dialogue Joint Committee (UPDJC),UPDJC,SpaCy
57,0.0,1321,19.0,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
65,0.0,1321,21.0,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
66,0.0,1321,23.0,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
69,0.0,1321,25.0,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
70,0.0,1321,27.0,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
71,0.0,1321,27.0,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
72,0.0,1321,27.0,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
74,0.0,1321,27.0,ORG,Government of the Republic of the Union of Myanmar,Government of the Republic of the Union of Myanmar,Gov. of Myanmar,SpaCy
75,0.0,1321,29.0,ORG,Government of the Republic of the Union of Myanmar,Government of the Republic of the Union of Myanmar,Gov. of Myanmar,SpaCy
76,0.0,1321,29.0,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
77,0.0,1321,30.0,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
79,0.0,1321,32.0,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
80,0.0,1321,32.0,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
81,0.0,1321,32.0,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
82,0.0,1321,32.0,ORG,Government of the Republic of the Union of Myanmar,Government of the Republic of the Union of Myanmar,Gov. of Myanmar,SpaCy
83,0.0,1321,32.0,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
84,0.0,1321,35.0,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
85,0.0,1321,35.0,ORG,Government of the Republic of the Union of Myanmar,Government of the Republic of the Union of Myanmar,Gov. of Myanmar,SpaCy
86,0.0,1321,35.0,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
88,0.0,1321,35.0,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
90,0.0,1321,35.0,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
91,0.0,1321,37.0,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
93,0.0,1321,39.0,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
95,0.0,1321,41.0,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
99,0.0,1321,45.0,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
100,0.0,1321,45.0,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
102,0.0,1321,50.0,ORG,Government of the Republic of the Union of Myanmar,Government of the Republic of the Union of Myanmar,Gov. of Myanmar,SpaCy
104,0.0,1321,52.0,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
106,0.0,1321,54.0,ORG,Government of the Republic of the Union of Myanmar,Government of the Republic of the Union of Myanmar,Gov. of Myanmar,SpaCy
107,0.0,1321,54.0,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
108,0.0,1321,54.0,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
