,doc_id,agreement_id,sentence_number,entity_type,entity_named,entity_affiliated_org,entity_affiliated_org_abr
35,0,1321,5,PERSON,General Aung San,Government of the Republic of the Union of Myanmar,Gov. of Myanmar
418,4,1544,65,PERSON,Lt. Gen. Ya Pyit,Government of the Republic of the Union of Myanmar,Gov. of Myanmar
419,4,1544,67,PERSON,U Khin Maung Soe,Government of the Republic of the Union of Myanmar,Gov. of Myanmar
420,4,1544,69,PERSON,Lt. Gen. Ye Aung,Government of the Republic of the Union of Myanmar,Gov. of Myanmar
421,4,1544,71,PERSON,Maj. Gen. Tun Tun Naung,Government of the Republic of the Union of Myanmar,Gov. of Myanmar
422,4,1544,74,PERSON,Maj. Gen. Aung Kyaw Zaw,Government of the Republic of the Union of Myanmar,Gov. of Myanmar
424,4,1544,79,PERSON,U Myint Soe,Government of the Republic of the Union of Myanmar,Gov. of Myanmar
428,4,1544,85,PERSON,Dr. Min Zaw Oo,Government of the Republic of the Union of Myanmar,Gov. of Myanmar
430,4,1544,87,PERSON,Maj. Gen. Saw Isaac Poe,KNU,KNU/KNLA
433,4,1544,89,PERSON,Maj. Gen. Saw Nay Soe Mya,KNU,KNU/KNLA
435,4,1544,90,PERSON,Dr. Shwe Kah,CNF,CNF
437,4,1544,92,PERSON,Col. Saw Kyaw Than Htay, Saw Kyaw Htay,
439,4,1544,95,PERSON,Lt. Col. Khun Aung Mang,PNLO,PNLO
440,4,1544,96,PERSON,Salai Yaw Aung,ABSDF,ABSDF
441,4,1544,100,PERSON,Col. Hsaung Han,RCSS,RCSS
442,4,1544,102,PERSON,Sai Liang,RCSS,RCSS
689,7,1550,1,PERSON,U Aung Min,Government of the Republic of the Union of Myanmar,Gov. of Myanmar
823,9,1552,1,PERSON,Col. Aung Lwin,Karen State Government,
824,9,1552,1,PERSON,U Saw Mu Shay,DKBA-5,DKBA-5
833,9,1552,6,PERSON,Maj. Gen Saw Lar Pwe,Government of the Republic of the Union of Myanmar,Gov. of Myanmar
837,10,1553,0,PERSON,U Aung Min,Government of the Republic of the Union of Myanmar,Gov. of Myanmar
844,11,1555,0,PERSON,U Aung Thaung,Government of the Republic of the Union of Myanmar,Gov. of Myanmar
845,11,1555,0,PERSON,U Thein Zaw,Government of the Republic of the Union of Myanmar,Gov. of Myanmar
846,11,1555,0,PERSON,U Win Tun,Government of the Republic of the Union of Myanmar,Gov. of Myanmar
869,12,1557,0,PERSON,U Aung Min,Government of the Republic of the Union of Myanmar,Gov. of Myanmar
875,12,1557,0,PERSON,U Win Tun,Government of the Republic of the Union of Myanmar,Gov. of Myanmar
877,12,1557,0,PERSON,U Ohn Myint,Government of the Republic of the Union of Myanmar,Gov. of Myanmar
895,12,1557,1,PERSON,U Win Tun,Government of the Republic of the Union of Myanmar,Gov. of Myanmar
897,12,1557,1,PERSON,U Ohn Myint,Government of the Republic of the Union of Myanmar,Gov. of Myanmar
904,12,1557,26,PERSON,U Aung Min,Government of the Republic of the Union of Myanmar,Gov. of Myanmar
964,17,1562,1,PERSON,U Aung Thaung,Government of the Republic of the Union of Myanmar,Gov. of Myanmar
966,17,1562,1,PERSON,U Thein Zaw,Government of the Republic of the Union of Myanmar,Gov. of Myanmar
967,17,1562,1,PERSON,U Ohn Myint,Government of the Republic of the Union of Myanmar,Gov. of Myanmar
968,17,1562,1,PERSON,U Win Tun,Government of the Republic of the Union of Myanmar,Gov. of Myanmar
970,17,1562,1,PERSON,U Sao Aung Myat,Shan State Government,
972,17,1562,1,PERSON,U Maung Maung Thein,Government of the Republic of the Union of Myanmar,Gov. of Myanmar
973,17,1562,1,PERSON,Maj-Gen Aung Kyaw Zaw,Government of the Republic of the Union of Myanmar,Gov. of Myanmar
974,17,1562,1,PERSON,Maj-Gen Mya Tun Oo,Government of the Republic of the Union of Myanmar,Gov. of Myanmar
975,17,1562,1,PERSON,Maj-Gen Zaw Win,Government of the Republic of the Union of Myanmar,Gov. of Myanmar
976,17,1562,1,PERSON,U Soe Tint, U Soe Tint,
