,agreement_id,Person,Mentions per agreement,AgtId,Date,Stage,per_correction,person_affiliation
0,771,U Aung Min,2,771,06/01/2012,SubPar,U Aung Min,Gov. of Myanmar
8,1550,U Aung Min,1,1550,20/06/2013,Cea,U Aung Min,Gov. of Myanmar
16,1553,U Aung Min,1,1553,13/01/2012,Cea,U Aung Min,Gov. of Myanmar
24,1557,U Aung Min,2,1557,25/02/2012,Cea,U Aung Min,Gov. of Myanmar
32,1564,U Aung Min,1,1564,07/04/2012,Cea,U Aung Min,Gov. of Myanmar
40,1580,U Aung Min,1,1580,23/03/2013,Cea,U Aung Min,Gov. of Myanmar
48,771,Dr. Sui Khar,1,771,06/01/2012,SubPar,Dr. Sui Khar,CNF
49,771,Pu Zing Cung,1,771,06/01/2012,SubPar,Pu Zing Cung,CNF
50,771,U Hung Ngai,1,771,06/01/2012,SubPar,U Hung Ngai,
51,771,U Thein Sein,1,771,06/01/2012,SubPar,U Thein Sein,Gov. of Myanmar
52,771,U Win Htun,1,771,06/01/2012,SubPar,U Win Htun,Gov. of Myanmar
53,776,Htein Lin,1,776,05/04/2012,Cea,Htein Lin,Gov. of Myanmar
54,1321,General Aung San,1,1321,09/12/2012,SubPar,General Aung San,Gov. of Myanmar
55,1544,Col. Hsaung Han,1,1544,18/11/2015,Cea,Col. Hsaung Han,RCSS
56,1544,Col. Saw Kyaw Than Htay,1,1544,18/11/2015,Cea,Col. Saw Kyaw Than Htay,
57,1544,Dr. Min Zaw Oo,1,1544,18/11/2015,Cea,Dr. Min Zaw Oo,Gov. of Myanmar
58,1544,Dr. Shwe Kah,1,1544,18/11/2015,Cea,Dr. Shwe Kah,CNF
59,1544,Lt. Col Khine Myo Chit,1,1544,18/11/2015,Cea,Lt. Col Khine Myo Chit,ALP
60,1544,Lt. Col. Khun Aung Mang,1,1544,18/11/2015,Cea,Lt. Col. Khun Aung Mang,PNLO
61,1544,Lt. Gen. Ya Pyit,1,1544,18/11/2015,Cea,Lt. Gen. Ya Pyit,Gov. of Myanmar
62,1544,Lt. Gen. Ye Aung,1,1544,18/11/2015,Cea,Lt. Gen. Ye Aung,Gov. of Myanmar
63,1544,Maj. Gen. Aung Kyaw Zaw,1,1544,18/11/2015,Cea,Maj. Gen. Aung Kyaw Zaw,Gov. of Myanmar
64,1544,Maj. Gen. Min Naung,1,1544,18/11/2015,Cea,Maj. Gen. Min Naung,Gov. of Myanmar
65,1544,Maj. Gen. Saw Isaac Poe,1,1544,18/11/2015,Cea,Maj. Gen. Saw Isaac Poe,KNU/KNLA
66,1544,Maj. Gen. Saw Nay Soe Mya,1,1544,18/11/2015,Cea,Maj. Gen. Saw Nay Soe Mya,KNU/KNLA
67,1544,Maj. Gen. Tun Tun Naung,1,1544,18/11/2015,Cea,Maj. Gen. Tun Tun Naung,Gov. of Myanmar
68,1544,Padoh Saw Ta Doh Moo,1,1544,18/11/2015,Cea,Padoh Saw Ta Doh Moo,KNU
69,1544,Sai Liang,1,1544,18/11/2015,Cea,Sai Liang,RCSS
70,1544,Salai Yaw Aung,1,1544,18/11/2015,Cea,Salai Yaw Aung,ABSDF
71,1544,U Khin Maung Soe,1,1544,18/11/2015,Cea,U Khin Maung Soe,Gov. of Myanmar
72,1544,U Myint Soe,1,1544,18/11/2015,Cea,U Myint Soe,Gov. of Myanmar
73,1550,Khu Oo Reh,1,1550,20/06/2013,Cea,Khu Oo Reh,KNPP
74,1552,Col. Aung Lwin,1,1552,03/11/2011,Cea,Col. Aung Lwin,
75,1552,Maj. Gen Saw Lar Pwe,1,1552,03/11/2011,Cea,Maj. Gen Saw Lar Pwe,Gov. of Myanmar
76,1552,U Saw Mu Shay,1,1552,03/11/2011,Cea,U Saw Mu Shay,DKBA-5
