person_affiliation,per_correction,Mentions per affiliated
AA,U Tun Mrat Naing,1
ABSDF,Salai Yaw Aung,1
ALP,Lt. Col Khine Myo Chit,1
Arakan Liberation Party,Khaing Thuka,1
CNF,Dr. Shwe Kah,1
CNF,Dr. Sui Khar,1
CNF,Pu Zin Cun,1
CNF,Pu Zing Cung,1
DKBA,Gen. Saw Mo Shay,1
DKBA-5,U Saw Lah Pwe,1
DKBA-5,U Saw Mu Shay,1
EAO,Daw Khin Ma Ma Myo,1
EAO,Kya Sha Mwe,1
EAO,Lian Hmung Sakhong,1
Ethnic Representative Government Group,U Htone Phoo Dagon,1
Gov,Lt-Col Zaw Naing Oo,1
Gov,U Tun Tun Oo,1
Gov. of Myanmar,U Aung Min,7
Gov. of Myanmar,U Aung Thaung,6
Gov. of Myanmar,U Win Tun,4
Gov. of Myanmar,U Ohn Myint,3
Gov. of Myanmar,U Thein Zaw,3
Gov. of Myanmar,Maj-Gen Mya Tun Oo,2
Gov. of Myanmar,Dr. May Win Myint,1
Gov. of Myanmar,Dr. Min Zaw Oo,1
Gov. of Myanmar,Dr. Tin Myo Win,1
Gov. of Myanmar,General Aung San,1
Gov. of Myanmar,Htein Lin,1
Gov. of Myanmar,Lt. Gen. Ya Pyit,1
Gov. of Myanmar,Lt. Gen. Ye Aung,1
Gov. of Myanmar,Maj-Gen Aung Kyaw Zaw,1
Gov. of Myanmar,Maj-Gen Zaw Win,1
Gov. of Myanmar,Maj. Gen Saw Lar Pwe,1
Gov. of Myanmar,Maj. Gen. Aung Kyaw Zaw,1
Gov. of Myanmar,Maj. Gen. Min Naung,1
Gov. of Myanmar,Maj. Gen. Tun Tun Naung,1
Gov. of Myanmar,U Khin Maung Soe,1
Gov. of Myanmar,U Kyaw Win,1
Gov. of Myanmar,U Maung Maung Thein,1
Gov. of Myanmar,U Myint Soe,1
Gov. of Myanmar,U Thein Sein,1
Gov. of Myanmar,U Win Htun,1
KNPP,Khu Oo Re,1
KNPP,Khu Oo Reh,1
KNPP,Koon Abel Tweed,1
KNU,Padoh Saw Ta Doh Moo,1
KNU/KNLA,Col. Saw Kyaw Dah,1
KNU/KNLA,General Secretary Naw Zipporah Sein,1
KNU/KNLA,Maj. Gen. Saw Isaac Poe,1
KNU/KNLA,Maj. Gen. Saw Nay Soe Mya,1
KNU/KNLA,Saw Mutu Say Po,1
LDU,Kya Khunsa,1
Myanmar National Democratic Alliance Army,Hpon Da Shwin,1
PNLO,Lt. Col. Khun Aung Mang,1
PNLO,U Khun Okkar,1
Political Parties Group,Nang Aye Aye Thwe,1
RCSS,Col. Hsaung Han,1
RCSS,Sai Liang,1
SSPP,Sao Hsay Pein Pha,1
Tatmadaw,Lt-Gen Tin Maug Win,1
UPWC,U Aung Min,1
UPWC,U Khin Mg Soe,1
