,doc_id,agreement_id,sentence_number,entity,entity_type,per_correction,corrected_entity_person,person_affiliation,org_correction,corrected_entity_org,entity_correction,entity_abr
0,0,1321,0, CNF - Govt Agreements, ORG ,,Other,,Chin National Front (CNF),ORG,Chin National Front (CNF),CNF
1,0,1321,0, Chinland Guardian, ORG ,,Other,,,Other,n/a,
2,0,1321,0, Chin National ( CNF, ORG ,,Other,,Chin National Front (CNF),ORG,Chin National Front (CNF),CNF
3,0,1321,0, Peace Committee Burma, ORG ,,Other,,,Other,n/a,
4,0,1321,0, Rangoon, GPE ,,Other,,,Other,n/a,
5,0,1321,1, Chin National Union, ORG ,,Other,,Chin National Front (CNF),ORG,Chin National Front (CNF),CNF
6,0,1321,1, Peace Working Committee, ORG ,,Other,,,Other,n/a,
7,0,1321,1, Peace Talks , ORG ,,Other,,,Other,n/a,
8,0,1321,1, Union Burma, ORG ,,Other,,,Other,n/a,
9,0,1321,1, Chin National, ORG ,,Other,,,Other,n/a,
10,0,1321,1, Union Peace Working Committee, ORG ,,Other,,Union Peace Dialogue Joint Committee (UPDJC),ORG,Union Peace Dialogue Joint Committee (UPDJC),UPDJC
11,0,1321,1, Union, ORG ,,Other,,,Other,n/a,
12,0,1321,1, Panglong, ORG ,,Other,,,Other,n/a,
13,0,1321,1, Chin National Peace Negotiating Team, ORG ,,Other,,Chin National Front (CNF),ORG,Chin National Front (CNF),CNF
14,0,1321,1, Chin State Government, ORG ,,Other,,Chin National Front (CNF),ORG,Chin National Front (CNF),CNF
15,0,1321,1, Hakha, GPE ,,Other,,,Other,n/a,
16,0,1321,1, Chin State, GPE ,,Other,,,Other,n/a,
17,0,1321,1, Chin National, ORG ,,Other,,,Other,n/a,
18,0,1321,1, Chin State Government, ORG ,,Other,,Chin National Front (CNF),ORG,Chin National Front (CNF),CNF
19,0,1321,1, Chin State, GPE ,,Other,,,Other,n/a,
20,0,1321,1, Tranquility, ORG ,,Other,,,Other,n/a,
21,0,1321,2, Chin National, ORG ,,Other,,,Other,n/a,
22,0,1321,2, Non - disintegration, ORG ,,Other,,,Other,n/a,
23,0,1321,2, Union, ORG ,,Other,,,Other,n/a,
24,0,1321,2, National Solidarity Perpetuation Sovereignty, ORG ,,Other,,,Other,n/a,
25,0,1321,3, Chin National, ORG ,,Other,,,Other,n/a,
26,0,1321,3, Union Peace Working Committee, ORG ,,Other,,Union Peace Dialogue Joint Committee (UPDJC),ORG,Union Peace Dialogue Joint Committee (UPDJC),UPDJC
27,0,1321,3, Tranquility Committee, ORG ,,Other,,,Other,n/a,
28,0,1321,3, Peace Facilitating Committee, ORG ,,Other,,,Other,n/a,
29,0,1321,4, Union Burma, ORG ,,Other,,,Other,n/a,
30,0,1321,4, Panglong Agreement, ORG ,,Other,,,Other,n/a,
31,0,1321,4, Kachin Hill Tribes Regulation, ORG ,,Other,,,Other,n/a,
32,0,1321,4, Government Burma Act, ORG ,,Other,,,Other,n/a,
33,0,1321,5, Burma, GPE ,,Other,,,Other,n/a,
34,0,1321,5, Panglong Conference, ORG ,,Other,,,Other,n/a,
35,0,1321,5, Aung San, PERSON ,General Aung San,PER,Government of the Republic of the Union of Myanmar,,Other,General Aung San,
36,0,1321,6, Government Chin State, ORG ,,Other,,Chin National Front (CNF),ORG,Chin National Front (CNF),CNF
37,0,1321,7, Government Chin State, ORG ,,Other,,Chin National Front (CNF),ORG,Chin National Front (CNF),CNF
38,0,1321,7, Chin Special Division, ORG ,,Other,,Chin National Front (CNF),ORG,Chin National Front (CNF),CNF
39,0,1321,7, Chin State, GPE ,,Other,,,Other,n/a,
40,0,1321,8, Environment , ORG ,,Other,,,Other,n/a,
41,0,1321,8, Chin National, ORG ,,Other,,,Other,n/a,
42,0,1321,8, Unlawful Association Act, ORG ,,Other,,,Other,n/a,
43,0,1321,8, Chin National, ORG ,,Other,,,Other,n/a,
44,0,1321,8, Union Government, ORG ,,Other,,Government of the Republic of the Union of Myanmar,ORG,Government of the Republic of the Union of Myanmar,Gov. of Myanmar
45,0,1321,10, Chin State Government, ORG ,,Other,,Chin National Front (CNF),ORG,Chin National Front (CNF),CNF
46,0,1321,10, Chin National, ORG ,,Other,,,Other,n/a,
47,0,1321,10, Chin, PERSON ,,Other,,Chin National Front (CNF),ORG,Chin National Front (CNF),CNF
48,0,1321,11, National Human Rights Commission, ORG ,,Other,,,Other,n/a,
49,0,1321,11, Chin State Government, ORG ,,Other,,Chin National Front (CNF),ORG,Chin National Front (CNF),CNF
50,0,1321,11, Chin National, ORG ,,Other,,,Other,n/a,
51,0,1321,13, Chin State, GPE ,,Other,,,Other,n/a,
52,0,1321,15, Chin State, ORG ,,Other,,,Other,n/a,
53,0,1321,17, Union Burma, ORG ,,Other,,,Other,n/a,
54,0,1321,17, Burma Army, ORG ,,Other,,,Other,n/a,
55,0,1321,17, Burma, GPE ,,Other,,,Other,n/a,
56,0,1321,19, Union Peace Working Committee, ORG ,,Other,,Union Peace Dialogue Joint Committee (UPDJC),ORG,Union Peace Dialogue Joint Committee (UPDJC),UPDJC
57,0,1321,19, Chin National Chin National Army, ORG ,,Other,,,Other,n/a,
58,0,1321,19, Thantlang Township, GPE ,,Other,,,Other,n/a,
59,0,1321,19, Vanzang, GPE ,,Other,,,Other,n/a,
60,0,1321,19, Lungding, ORG ,,Other,,,Other,n/a,
61,0,1321,19, Belhar, GPE ,,Other,,,Other,n/a,
62,0,1321,19, Lulpilung Village Tracts, GPE ,,Other,,,Other,n/a,
63,0,1321,19, Tedim Township, GPE ,,Other,,,Other,n/a,
64,0,1321,21, Burma Army, ORG ,,Other,,,Other,n/a,
65,0,1321,21, Chin National Army, ORG ,,Other,,,Other,n/a,
66,0,1321,23, Chin National Army, ORG ,,Other,,,Other,n/a,
67,0,1321,23, Burma Army, ORG ,,Other,,,Other,n/a,
68,0,1321,23, Battalion, ORG ,,Other,,,Other,n/a,
69,0,1321,25, Chin National, ORG ,,Other,,,Other,n/a,
70,0,1321,27, Chin, PERSON ,,Other,,Chin National Front (CNF),ORG,Chin National Front (CNF),CNF
71,0,1321,27, Chin National, ORG ,,Other,,,Other,n/a,
72,0,1321,27, Chin National Army, ORG ,,Other,,,Other,n/a,
73,0,1321,27, Non Governmental Organizations, ORG ,,Other,,,Other,n/a,
74,0,1321,27, Union Government, ORG ,,Other,,Government of the Republic of the Union of Myanmar,ORG,Government of the Republic of the Union of Myanmar,Gov. of Myanmar
75,0,1321,29, Union Government, ORG ,,Other,,Government of the Republic of the Union of Myanmar,ORG,Government of the Republic of the Union of Myanmar,Gov. of Myanmar
76,0,1321,29, Chin National, ORG ,,Other,,,Other,n/a,
77,0,1321,30, Chin National, ORG ,,Other,,,Other,n/a,
78,0,1321,30, International Non- Governmental Organizations, ORG ,,Other,,,Other,n/a,
79,0,1321,32, Chin State Government, ORG ,,Other,,Chin National Front (CNF),ORG,Chin National Front (CNF),CNF
80,0,1321,32, Chin National, ORG ,,Other,,,Other,n/a,
81,0,1321,32, Chin National, ORG ,,Other,,,Other,n/a,
82,0,1321,32, Union Government, ORG ,,Other,,Government of the Republic of the Union of Myanmar,ORG,Government of the Republic of the Union of Myanmar,Gov. of Myanmar
83,0,1321,32, Chin State Government, ORG ,,Other,,Chin National Front (CNF),ORG,Chin National Front (CNF),CNF
84,0,1321,35, Chin National, ORG ,,Other,,,Other,n/a,
85,0,1321,35, Union Government, ORG ,,Other,,Government of the Republic of the Union of Myanmar,ORG,Government of the Republic of the Union of Myanmar,Gov. of Myanmar
86,0,1321,35, Chin State Government, ORG ,,Other,,Chin National Front (CNF),ORG,Chin National Front (CNF),CNF
87,0,1321,35, Community Radio, ORG ,,Other,,,Other,n/a,
88,0,1321,35, Chin, PERSON ,,Other,,Chin National Front (CNF),ORG,Chin National Front (CNF),CNF
89,0,1321,35, Chins, PERSON ,,Other,,,Other,n/a,
90,0,1321,35, Chin, PERSON ,,Other,,Chin National Front (CNF),ORG,Chin National Front (CNF),CNF
91,0,1321,37, Chin National, ORG ,,Other,,,Other,n/a,
92,0,1321,37, Chin State, GPE ,,Other,,,Other,n/a,
93,0,1321,39, Chin National, ORG ,,Other,,,Other,n/a,
