,0
General Aung San, Aung San
Lt. Gen. Ya Pyit, Gen. Ya Pyit
U Khin Maung Soe, U Khin Maung Soe  Union
Lt. Gen. Ye Aung, Gen. Ye Aung  Chief
Maj. Gen. Tun Tun Naung, Tun Tun Naung
Maj. Gen. Aung Kyaw Zaw, Aung Kyaw Zaw
U Myint Soe, U Myint Soe  Retired Lt
Maj. Gen. Aung Soe, Aung Soe
Col. Wun Na Aung, Ministry Interior
Dr. Min Zaw Oo, Min Zaw
Maj. Gen. Saw Isaac Poe, Gen. Saw Isaac Poe  Quartermaster General
Maj. Gen. Saw Nay Soe Mya, Gen. Saw Nay Soe Mya  Adjutant General
Dr. Shwe Kah, Shwe Kah
Col. Saw Kyaw Than Htay, Saw Kyaw Htay
Lt. Col. Khun Aung Mang, Khun Aung Mang  PNLO
Salai Yaw Aung, Salai Yaw Aung  ABSDF
Col. Hsaung Han, Hsaung Han
Sai Liang, Sai Liang 
U Aung Min, U Aung Min
Khu Oo Reh, KNPP Khu Oo Reh
U Saw Mu Shay, Kalo Htoo Baw U Saw Mu Shay
Col. Aung Lwin, Aung Lwin
Maj. Gen Saw Lar Pwe, Gen Saw Lar Pwe
U Aung Thaung, U Aung Thaung
U Thein Zaw, U Thein Zaw
U Ohn Myint, U Ohn Myint
U Win Tun, U Win Tun
U Sao Aung Myat, U Sao Aung Myat
U Maung Maung Thein, U Maung Maung Thein
Maj-Gen Aung Kyaw Zaw, North - East Command Maj - Gen Aung Kyaw Zaw
Maj-Gen Mya Tun Oo, Central East Command
Maj-Gen Zaw Win, Maj - Gen Zaw Win
U Soe Tint, U Soe Tint
Col Aung Thu., Aung Thu
General Sao Khay Tai, Sao Khay Tai
Sao Khin Min, Sao Khin Min
Sao Khun Hsai, Sao Khun Hsai
Sao Khay Maung, Sao Khay Maung
Sao Kyaw Hla, Sao Kyaw Hla
Sao Htin Mein, Sao Htin Mein
Sao Laung Khay, Sao Laung Khay
Sao Naw Leik,  Sao Naw Leik
General Secretary Naw Zipporah Sein, Naw Zipporah Sein
U Saw Lah Pwe, U Saw Lah Pwe
U Khun Okkar, Khun Okkar
U Khun Myint Htun, U Khun Myint Htun
U Khin Mg Soe, Khin Mg Soe
U Twan Zaw, U Twan Zaw
U Tun Mrat Naing, U Tun Mrat Naing
Pu Zin Cun, Pu Zin Cun Commander
Gen. Saw Mo Shay, Saw Mo Shay
Koon Abel Tweed, Koon Abel Tweed
Col. Saw Kyaw Dah, Saw Kyaw Dah
Kya Khunsa, Kya Khunsa
Dr. Tin Myo Win, Tin Myo Win  Representative
Dr. May Win Myint, Win Myint  Representative
U Thu Wai, U Thu Wai  Representative
U Kyaw Win, Kyaw Win  Relevant Representative
U Zein Khan Ram, Ethnic Armed Organization Group  U Zein Khan Ram  Ethnic Representative Political Parties Group
U Thein Sein, Union Myanmar U Thein Sein
Pu Zing Cung, Pu Zing Cung
Dr. Sui Khar, Sui Khar
U Win Htun, U Win Htun
U Hung Ngai, U Hung Ngai
Htein Lin, Htein Lin
