,agreement_id,entity_type,entity_named,entity_affiliated_org,entity_affiliated_org_abr,NER
0,1321, ORG ,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
1,1321, ORG , Chinland Guardian, Chinland Guardian,,SpaCy
2,1321, ORG ,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
3,1321, ORG , Peace Committee Burma, Peace Committee Burma,,SpaCy
4,1321, GPE , Rangoon, Rangoon,,SpaCy
5,1321, ORG ,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
6,1321, ORG , Peace Working Committee, Peace Working Committee,,SpaCy
7,1321, ORG , Peace Talks , Peace Talks ,,SpaCy
8,1321, ORG ,Myanmar (Burma),Myanmar (Burma),,SpaCy
9,1321, ORG ,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
10,1321, ORG ,Union Peace Dialogue Joint Committee (UPDJC),Union Peace Dialogue Joint Committee (UPDJC),UPDJC,SpaCy
11,1321, ORG ,Myanmar (Burma),Myanmar (Burma),,SpaCy
12,1321, ORG , Panglong, Panglong,,SpaCy
13,1321, ORG ,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
14,1321, ORG ,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
15,1321, GPE , Hakha, Hakha,,SpaCy
16,1321, GPE , Chin State, Chin State,,SpaCy
17,1321, ORG ,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
18,1321, ORG ,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
19,1321, GPE , Chin State, Chin State,,SpaCy
20,1321, ORG , Tranquility, Tranquility,,SpaCy
21,1321, ORG ,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
22,1321, ORG , Non - disintegration, Non - disintegration,,SpaCy
23,1321, ORG ,Myanmar (Burma),Myanmar (Burma),,SpaCy
24,1321, ORG , National Solidarity Perpetuation Sovereignty, National Solidarity Perpetuation Sovereignty,,SpaCy
25,1321, ORG ,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
26,1321, ORG ,Union Peace Dialogue Joint Committee (UPDJC),Union Peace Dialogue Joint Committee (UPDJC),UPDJC,SpaCy
27,1321, ORG , Tranquility Committee, Tranquility Committee,,SpaCy
28,1321, ORG , Peace Facilitating Committee, Peace Facilitating Committee,,SpaCy
29,1321, ORG ,Myanmar (Burma),Myanmar (Burma),,SpaCy
30,1321, ORG , Panglong Agreement, Panglong Agreement,,SpaCy
31,1321, ORG , Kachin Hill Tribes Regulation, Kachin Hill Tribes Regulation,,SpaCy
32,1321, ORG , Government Burma Act, Government Burma Act,,SpaCy
33,1321, GPE ,Myanmar (Burma),Myanmar (Burma),,SpaCy
34,1321, ORG , Panglong Conference, Panglong Conference,,SpaCy
35,1321, PERSON ,General Aung San,Government of the Republic of the Union of Myanmar,Gov. of Myanmar,SpaCy
36,1321, ORG ,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
37,1321, ORG ,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
38,1321, ORG ,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
39,1321, GPE , Chin State, Chin State,,SpaCy
40,1321, ORG , Environment , Environment ,,SpaCy
41,1321, ORG ,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
42,1321, ORG , Unlawful Association Act, Unlawful Association Act,,SpaCy
43,1321, ORG ,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
44,1321, ORG ,Government of the Republic of the Union of Myanmar,Government of the Republic of the Union of Myanmar,Gov. of Myanmar,SpaCy
45,1321, ORG ,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
46,1321, ORG ,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
47,1321, PERSON ,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
48,1321, ORG , National Human Rights Commission, National Human Rights Commission,,SpaCy
49,1321, ORG ,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
50,1321, ORG ,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
51,1321, GPE , Chin State, Chin State,,SpaCy
52,1321, ORG , Chin State, Chin State,,SpaCy
53,1321, ORG ,Myanmar (Burma),Myanmar (Burma),,SpaCy
54,1321, ORG , Burma Army, Burma Army,,SpaCy
55,1321, GPE ,Myanmar (Burma),Myanmar (Burma),,SpaCy
56,1321, ORG ,Union Peace Dialogue Joint Committee (UPDJC),Union Peace Dialogue Joint Committee (UPDJC),UPDJC,SpaCy
57,1321, ORG ,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
58,1321, GPE , Thantlang Township, Thantlang Township,,SpaCy
59,1321, GPE , Vanzang, Vanzang,,SpaCy
60,1321, ORG , Lungding, Lungding,,SpaCy
61,1321, GPE , Belhar, Belhar,,SpaCy
62,1321, GPE , Lulpilung Village Tracts, Lulpilung Village Tracts,,SpaCy
63,1321, GPE , Tedim Township, Tedim Township,,SpaCy
64,1321, ORG , Burma Army, Burma Army,,SpaCy
65,1321, ORG ,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
66,1321, ORG ,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
67,1321, ORG , Burma Army, Burma Army,,SpaCy
68,1321, ORG , Battalion, Battalion,,SpaCy
69,1321, ORG ,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
70,1321, PERSON ,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
71,1321, ORG ,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
72,1321, ORG ,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
73,1321, ORG , Non Governmental Organizations, Non Governmental Organizations,,SpaCy
74,1321, ORG ,Government of the Republic of the Union of Myanmar,Government of the Republic of the Union of Myanmar,Gov. of Myanmar,SpaCy
75,1321, ORG ,Government of the Republic of the Union of Myanmar,Government of the Republic of the Union of Myanmar,Gov. of Myanmar,SpaCy
76,1321, ORG ,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
77,1321, ORG ,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
78,1321, ORG , International Non- Governmental Organizations, International Non- Governmental Organizations,,SpaCy
79,1321, ORG ,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
80,1321, ORG ,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
81,1321, ORG ,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
82,1321, ORG ,Government of the Republic of the Union of Myanmar,Government of the Republic of the Union of Myanmar,Gov. of Myanmar,SpaCy
83,1321, ORG ,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
84,1321, ORG ,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
85,1321, ORG ,Government of the Republic of the Union of Myanmar,Government of the Republic of the Union of Myanmar,Gov. of Myanmar,SpaCy
86,1321, ORG ,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
87,1321, ORG , Community Radio, Community Radio,,SpaCy
88,1321, PERSON ,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
89,1321, PERSON , Chins, Chins,,SpaCy
90,1321, PERSON ,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
91,1321, ORG ,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
92,1321, GPE , Chin State, Chin State,,SpaCy
93,1321, ORG ,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
94,1321, ORG , Chin State, Chin State,,SpaCy
95,1321, ORG ,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
96,1321, GPE , Chin State, Chin State,,SpaCy
97,1321, GPE , Tonzang Township, Tonzang Township,,SpaCy
98,1321, LOC , Paletwa Township, Paletwa Township,,SpaCy
99,1321, ORG ,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
100,1321, PERSON ,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
101,1321, ORG , Social Cultural Matters, Social Cultural Matters,,SpaCy
102,1321, ORG ,Government of the Republic of the Union of Myanmar,Government of the Republic of the Union of Myanmar,Gov. of Myanmar,SpaCy
103,1321, GPE , Chin State, Chin State,,SpaCy
104,1321, PERSON ,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
105,1321, GPE ,Myanmar (Burma),Myanmar (Burma),,SpaCy
106,1321, ORG ,Government of the Republic of the Union of Myanmar,Government of the Republic of the Union of Myanmar,Gov. of Myanmar,SpaCy
107,1321, ORG ,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
108,1321, ORG ,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
109,1321, ORG ,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
110,1321, ORG , Chin State, Chin State,,SpaCy
111,1321, PERSON ,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
112,1321, GPE , Chin State, Chin State,,SpaCy
113,1321, ORG ,Government of the Republic of the Union of Myanmar,Government of the Republic of the Union of Myanmar,Gov. of Myanmar,SpaCy
114,1321, ORG ,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
115,1321, ORG ,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
116,1321, GPE , Naypyidaw, Naypyidaw,,SpaCy
117,1321, GPE , Yangon, Yangon,,SpaCy
118,1321, ORG , Mandalay, Mandalay,,SpaCy
119,1321, ORG , Kalay, Kalay,,SpaCy
120,1321, PERSON , Sittwe, Sittwe,,SpaCy
121,1321, PERSON , Seih, Seih,,SpaCy
122,1436, GPE ,Myanmar (Burma),Myanmar (Burma),,SpaCy
123,1436, ORG ,Ethnic Armed Organizations (EAO),Ethnic Armed Organizations (EAO),EAO,SpaCy
124,1436, ORG ,Government of the Republic of the Union of Myanmar,Government of the Republic of the Union of Myanmar,Gov. of Myanmar,SpaCy
125,1436, ORG ,Ethnic Armed Organizations (EAO),Ethnic Armed Organizations (EAO),EAO,SpaCy
126,1436, ORG , Nationwide Ceasefire Agreement, Nationwide Ceasefire Agreement,,SpaCy
127,1436, ORG , Panglong, Panglong,,SpaCy
128,1436, ORG , Reach, Reach,,SpaCy
129,1436, GPE ,Myanmar (Burma),Myanmar (Burma),,SpaCy
130,1436, PERSON , c. Discuss, c. Discuss,,SpaCy
131,1436, PERSON ,Tatmadaw,Tatmadaw,Tatmadaw,SpaCy
132,1436, GPE ,Myanmar (Burma),Myanmar (Burma),,SpaCy
133,1436, GPE ,Myanmar (Burma),Myanmar (Burma),,SpaCy
134,1436, GPE ,Myanmar (Burma),Myanmar (Burma),,SpaCy
135,1436, GPE ,Myanmar (Burma),Myanmar (Burma),,SpaCy
136,1436, ORG ,Ethnic Armed Organizations (EAO),Ethnic Armed Organizations (EAO),EAO,SpaCy
137,1436, ORG , Nationwide Ceasefire Agreement, Nationwide Ceasefire Agreement,,SpaCy
138,1436, GPE ,Myanmar (Burma),Myanmar (Burma),,SpaCy
139,1436, ORG ,Ethnic Armed Organizations (EAO),Ethnic Armed Organizations (EAO),EAO,SpaCy
140,1436, ORG ,Ethnic Armed Organizations (EAO),Ethnic Armed Organizations (EAO),EAO,SpaCy
141,1436, ORG , Nationwide Ceasefire Agreement, Nationwide Ceasefire Agreement,,SpaCy
142,1436, ORG ,Ethnic Armed Organizations (EAO),Ethnic Armed Organizations (EAO),EAO,SpaCy
143,1436, PERSON ,Tatmadaw,Tatmadaw,Tatmadaw,SpaCy
144,1436, ORG , Nationwide Ceasefire Agreement, Nationwide Ceasefire Agreement,,SpaCy
145,1436, ORG ,Joint Ceasefire Monitoring Committee (JCMC),Joint Ceasefire Monitoring Committee (JCMC),JCMC,SpaCy
146,1436, PERSON ,Tatmadaw,Tatmadaw,Tatmadaw,SpaCy
147,1436, PERSON , c. Avoid, c. Avoid,,SpaCy
148,1436, ORG ,Government of the Republic of the Union of Myanmar,Government of the Republic of the Union of Myanmar,Gov. of Myanmar,SpaCy
149,1436, ORG ,Ethnic Armed Organizations (EAO),Ethnic Armed Organizations (EAO),EAO,SpaCy
150,1436, PERSON ,Tatmadaw,Tatmadaw,Tatmadaw,SpaCy
151,1436, ORG ,Ethnic Armed Organizations (EAO),Ethnic Armed Organizations (EAO),EAO,SpaCy
152,1436, ORG ,Ethnic Armed Organizations (EAO),Ethnic Armed Organizations (EAO),EAO,SpaCy
153,1436, PERSON ,Tatmadaw,Tatmadaw,Tatmadaw,SpaCy
154,1436, PERSON ,Tatmadaw,Tatmadaw,Tatmadaw,SpaCy
155,1436, ORG , Avoid, Avoid,,SpaCy
156,1436, PERSON , c. Avoid, c. Avoid,,SpaCy
157,1436, ORG , healthcare, healthcare,,SpaCy
158,1436, GPE ,Myanmar (Burma),Myanmar (Burma),,SpaCy
159,1436, ORG ,Ethnic Armed Organizations (EAO),Ethnic Armed Organizations (EAO),EAO,SpaCy
160,1436, ORG ,Ethnic Armed Organizations (EAO),Ethnic Armed Organizations (EAO),EAO,SpaCy
161,1436, PERSON , Internally Displaced Persons, Internally Displaced Persons,,SpaCy
162,1436, ORG ,Government of the Republic of the Union of Myanmar,Government of the Republic of the Union of Myanmar,Gov. of Myanmar,SpaCy
163,1436, ORG ,Joint Ceasefire Monitoring Committee (JCMC),Joint Ceasefire Monitoring Committee (JCMC),JCMC,SpaCy
164,1436, ORG ,Joint Ceasefire Monitoring Committee (JCMC),Joint Ceasefire Monitoring Committee (JCMC),JCMC,SpaCy
165,1436, ORG ,Joint Ceasefire Monitoring Committee (JCMC),Joint Ceasefire Monitoring Committee (JCMC),JCMC,SpaCy
166,1436, ORG ,Joint Ceasefire Monitoring Committee (JCMC),Joint Ceasefire Monitoring Committee (JCMC),JCMC,SpaCy
167,1436, ORG ,Union Peace Dialogue Joint Committee (UPDJC),Union Peace Dialogue Joint Committee (UPDJC),UPDJC,SpaCy
168,1436, ORG ,Ethnic Armed Organizations (EAO),Ethnic Armed Organizations (EAO),EAO,SpaCy
169,1436, ORG ,Joint Ceasefire Monitoring Committee (JCMC),Joint Ceasefire Monitoring Committee (JCMC),JCMC,SpaCy
170,1436, ORG ,Joint Ceasefire Monitoring Committee (JCMC),Joint Ceasefire Monitoring Committee (JCMC),JCMC,SpaCy
171,1436, ORG ,Joint Ceasefire Monitoring Committee (JCMC),Joint Ceasefire Monitoring Committee (JCMC),JCMC,SpaCy
172,1436, ORG ,Joint Ceasefire Monitoring Committee (JCMC),Joint Ceasefire Monitoring Committee (JCMC),JCMC,SpaCy
173,1436, PERSON , Internally Displaced Persons, Internally Displaced Persons,,SpaCy
174,1436, ORG , Nationwide Ceasefire Agreement, Nationwide Ceasefire Agreement,,SpaCy
175,1436, ORG ,Joint Ceasefire Monitoring Committee (JCMC),Joint Ceasefire Monitoring Committee (JCMC),JCMC,SpaCy
176,1436, ORG ,Joint Ceasefire Monitoring Committee (JCMC),Joint Ceasefire Monitoring Committee (JCMC),JCMC,SpaCy
177,1436, ORG , Committee, Committee,JMC,SpaCy
178,1436, ORG , Liaison Offices, Liaison Offices,,SpaCy
179,1436, ORG ,Ethnic Armed Organizations (EAO),Ethnic Armed Organizations (EAO),EAO,SpaCy
180,1436, ORG ,Ethnic Armed Organizations (EAO),Ethnic Armed Organizations (EAO),EAO,SpaCy
181,1436, ORG , Nationwide Ceasefire Agreement, Nationwide Ceasefire Agreement,,SpaCy
182,1436, GPE , Republic Union Myanmar Government, Republic Union Myanmar Government,,SpaCy
183,1436, ORG ,Ethnic Armed Organizations (EAO),Ethnic Armed Organizations (EAO),EAO,SpaCy
184,1436, PERSON , a. Signing, a. Signing,,SpaCy
185,1436, ORG , Nationwide Ceasefire Agreement, Nationwide Ceasefire Agreement,,SpaCy
186,1436, ORG , “ Framework Political Dialogue, “ Framework Political Dialogue,,SpaCy
187,1436, ORG ,Government of the Republic of the Union of Myanmar,Government of the Republic of the Union of Myanmar,Gov. of Myanmar,SpaCy
188,1436, ORG ,Ethnic Armed Organizations (EAO),Ethnic Armed Organizations (EAO),EAO,SpaCy
189,1436, ORG , Political Dialogue, Political Dialogue,,SpaCy
190,1436, GPE ,Hluttaw,Hluttaw,Hluttaw,SpaCy
191,1436, GPE , Republic Union Myanmar Government, Republic Union Myanmar Government,,SpaCy
192,1436, ORG ,Ethnic Armed Organizations (EAO),Ethnic Armed Organizations (EAO),EAO,SpaCy
193,1436, ORG ,Joint Monitoring Committee (JMC),Joint Monitoring Committee (JMC),JMC,SpaCy
194,1436, ORG ,Union Level Joint Ceasefire Monitoring Committee (JMC-U),Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U,SpaCy
195,1436, ORG , Nationwide Ceasefire Agreement, Nationwide Ceasefire Agreement,,SpaCy
196,1436, ORG ,Hluttaw,Hluttaw,Hluttaw,SpaCy
197,1436, PERSON ,Tatmadaw,Tatmadaw,Tatmadaw,SpaCy
198,1436, ORG ,Ethnic Armed Organizations (EAO),Ethnic Armed Organizations (EAO),EAO,SpaCy
199,1436, ORG , Framework Political Dialogue, Framework Political Dialogue,,SpaCy
200,1436, ORG , Political Dialogue, Political Dialogue,,SpaCy
201,1436, ORG , Nationwide Ceasefire Agreement, Nationwide Ceasefire Agreement,,SpaCy
202,1436, ORG , Nationwide Ceasefire Agreement, Nationwide Ceasefire Agreement,,SpaCy
203,1436, ORG ,Ethnic Armed Organizations (EAO),Ethnic Armed Organizations (EAO),EAO,SpaCy
204,1436, ORG ,Ethnic Armed Organizations (EAO),Ethnic Armed Organizations (EAO),EAO,SpaCy
