,agreement_id,entity_type,entity_named,entity_affiliated_org,entity_affiliated_org_abr,NER,entity_overall_description,NCA_status
0,1321, ORG ,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy,EAO,NCA-S
1,1321, ORG , Chinland Guardian, Chinland Guardian,,SpaCy,Civil Society,
2,1321, ORG ,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy,EAO,NCA-S
3,1321, ORG , Peace Committee Burma, Peace Committee Burma,,SpaCy,Peace Committee,
4,1321, GPE , Rangoon, Rangoon,,SpaCy,Location,
5,1321, ORG ,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy,EAO,NCA-S
6,1321, ORG , Peace Working Committee, Peace Working Committee,,SpaCy,Peace Committee,
7,1321, ORG , Peace Talks , Peace Talks ,,SpaCy,Peace Talks,
8,1321, ORG ,Myanmar (Burma),Myanmar (Burma),,SpaCy,Country,
9,1321, ORG ,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy,EAO,NCA-S
10,1321, ORG ,Union Peace Dialogue Joint Committee (UPDJC),Union Peace Dialogue Joint Committee (UPDJC),UPDJC,SpaCy,Peace Committee,
11,1321, ORG ,Myanmar (Burma),Myanmar (Burma),,SpaCy,Country,
12,1321, ORG , Panglong, Panglong,,SpaCy,Location,
13,1321, ORG ,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy,EAO,NCA-S
14,1321, ORG ,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy,EAO,NCA-S
15,1321, GPE , Hakha, Hakha,,SpaCy,Location,
16,1321, GPE , Chin State, Chin State,,SpaCy,Location,
17,1321, ORG ,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy,EAO,NCA-S
18,1321, ORG ,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy,EAO,NCA-S
19,1321, GPE , Chin State, Chin State,,SpaCy,Location,
20,1321, ORG , Tranquility, Tranquility,,SpaCy,Peace Committee,
21,1321, ORG ,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy,EAO,NCA-S
22,1321, ORG , Non - disintegration, Non - disintegration,,SpaCy,,
23,1321, ORG ,Myanmar (Burma),Myanmar (Burma),,SpaCy,Country,
24,1321, ORG , National Solidarity Perpetuation Sovereignty, National Solidarity Perpetuation Sovereignty,,SpaCy,,
25,1321, ORG ,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy,EAO,NCA-S
26,1321, ORG ,Union Peace Dialogue Joint Committee (UPDJC),Union Peace Dialogue Joint Committee (UPDJC),UPDJC,SpaCy,Peace Committee,
27,1321, ORG , Tranquility Committee, Tranquility Committee,,SpaCy,Peace Committee,
28,1321, ORG , Peace Facilitating Committee, Peace Facilitating Committee,,SpaCy,Peace Committee,
29,1321, ORG ,Myanmar (Burma),Myanmar (Burma),,SpaCy,Country,
30,1321, ORG , Panglong Agreement, Panglong Agreement,,SpaCy,Law,
31,1321, ORG , Kachin Hill Tribes Regulation, Kachin Hill Tribes Regulation,,SpaCy,Law,
32,1321, ORG , Government Burma Act, Government Burma Act,,SpaCy,Law,
33,1321, GPE ,Myanmar (Burma),Myanmar (Burma),,SpaCy,Country,
34,1321, ORG , Panglong Conference, Panglong Conference,,SpaCy,Peace Talks,
35,1321, PERSON ,General Aung San,Government of the Republic of the Union of Myanmar,Gov. of Myanmar,SpaCy,Government,
36,1321, ORG ,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy,EAO,NCA-S
37,1321, ORG ,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy,EAO,NCA-S
38,1321, ORG ,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy,EAO,NCA-S
39,1321, GPE , Chin State, Chin State,,SpaCy,Location,
40,1321, ORG , Environment , Environment ,,SpaCy,,
41,1321, ORG ,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy,EAO,NCA-S
42,1321, ORG , Unlawful Association Act, Unlawful Association Act,,SpaCy,Law,
43,1321, ORG ,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy,EAO,NCA-S
44,1321, ORG ,Government of the Republic of the Union of Myanmar,Government of the Republic of the Union of Myanmar,Gov. of Myanmar,SpaCy,Government,
45,1321, ORG ,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy,EAO,NCA-S
46,1321, ORG ,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy,EAO,NCA-S
47,1321, PERSON ,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy,EAO,NCA-S
48,1321, ORG , National Human Rights Commission, National Human Rights Commission,,SpaCy,Government Group,
49,1321, ORG ,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy,EAO,NCA-S
50,1321, ORG ,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy,EAO,NCA-S
51,1321, GPE , Chin State, Chin State,,SpaCy,Location,
52,1321, ORG , Chin State, Chin State,,SpaCy,Location,
53,1321, ORG ,Myanmar (Burma),Myanmar (Burma),,SpaCy,Country,
54,1321, ORG , Burma Army, Burma Army,,SpaCy,Military,
55,1321, GPE ,Myanmar (Burma),Myanmar (Burma),,SpaCy,Country,
56,1321, ORG ,Union Peace Dialogue Joint Committee (UPDJC),Union Peace Dialogue Joint Committee (UPDJC),UPDJC,SpaCy,Peace Committee,
57,1321, ORG ,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy,EAO,NCA-S
58,1321, GPE , Thantlang Township, Thantlang Township,,SpaCy,Location,
59,1321, GPE , Vanzang, Vanzang,,SpaCy,Location,
60,1321, ORG , Lungding, Lungding,,SpaCy,Location,
61,1321, GPE , Belhar, Belhar,,SpaCy,Location,
62,1321, GPE , Lulpilung Village Tracts, Lulpilung Village Tracts,,SpaCy,Location,
63,1321, GPE , Tedim Township, Tedim Township,,SpaCy,Location,
64,1321, ORG , Burma Army, Burma Army,,SpaCy,Military,
65,1321, ORG ,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy,EAO,NCA-S
66,1321, ORG ,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy,EAO,NCA-S
67,1321, ORG , Burma Army, Burma Army,,SpaCy,Military,
68,1321, ORG , Battalion, Battalion,,SpaCy,Location,
69,1321, ORG ,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy,EAO,NCA-S
70,1321, PERSON ,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy,EAO,NCA-S
71,1321, ORG ,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy,EAO,NCA-S
72,1321, ORG ,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy,EAO,NCA-S
73,1321, ORG , Non Governmental Organizations, Non Governmental Organizations,,SpaCy,International NGOs and Intergovernmental Organizations,
74,1321, ORG ,Government of the Republic of the Union of Myanmar,Government of the Republic of the Union of Myanmar,Gov. of Myanmar,SpaCy,Government,
75,1321, ORG ,Government of the Republic of the Union of Myanmar,Government of the Republic of the Union of Myanmar,Gov. of Myanmar,SpaCy,Government,
76,1321, ORG ,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy,EAO,NCA-S
77,1321, ORG ,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy,EAO,NCA-S
78,1321, ORG , International Non- Governmental Organizations, International Non- Governmental Organizations,,SpaCy,International NGOs and Intergovernmental Organizations,
79,1321, ORG ,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy,EAO,NCA-S
80,1321, ORG ,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy,EAO,NCA-S
81,1321, ORG ,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy,EAO,NCA-S
82,1321, ORG ,Government of the Republic of the Union of Myanmar,Government of the Republic of the Union of Myanmar,Gov. of Myanmar,SpaCy,Government,
83,1321, ORG ,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy,EAO,NCA-S
84,1321, ORG ,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy,EAO,NCA-S
85,1321, ORG ,Government of the Republic of the Union of Myanmar,Government of the Republic of the Union of Myanmar,Gov. of Myanmar,SpaCy,Government,
86,1321, ORG ,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy,EAO,NCA-S
87,1321, ORG , Community Radio, Community Radio,,SpaCy,Civil Society,
88,1321, PERSON ,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy,EAO,NCA-S
89,1321, PERSON , Chins, Chins,,SpaCy,,
90,1321, PERSON ,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy,EAO,NCA-S
91,1321, ORG ,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy,EAO,NCA-S
92,1321, GPE , Chin State, Chin State,,SpaCy,Location,
93,1321, ORG ,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy,EAO,NCA-S
94,1321, ORG , Chin State, Chin State,,SpaCy,Location,
95,1321, ORG ,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy,EAO,NCA-S
96,1321, GPE , Chin State, Chin State,,SpaCy,Location,
97,1321, GPE , Tonzang Township, Tonzang Township,,SpaCy,Location,
98,1321, LOC , Paletwa Township, Paletwa Township,,SpaCy,Location,
99,1321, ORG ,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy,EAO,NCA-S
100,1321, PERSON ,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy,EAO,NCA-S
101,1321, ORG , Social Cultural Matters, Social Cultural Matters,,SpaCy,,
