,entity_named,entity_affiliated_org,entity_affiliated_org_abr,entity_overall_description,NCA_status
0,Chin National Front (CNF),Chin National Front (CNF),CNF,EAO,NCA-S
1, Chinland Guardian, Chinland Guardian,,Civil Society,
3, Peace Committee Burma, Peace Committee Burma,,Peace Committee,
4, Rangoon, Rangoon,,Location,
6, Peace Working Committee, Peace Working Committee,,Peace Committee,
7, Peace Talks , Peace Talks ,,Peace Talks,
8,Myanmar (Burma),Myanmar (Burma),,Country,
10,Union Peace Dialogue Joint Committee (UPDJC),Union Peace Dialogue Joint Committee (UPDJC),UPDJC,Peace Committee,
12, Panglong, Panglong,,Location,
15, Hakha, Hakha,,Location,
16, Chin State, Chin State,,Location,
20, Tranquility, Tranquility,,Peace Committee,
22, Non - disintegration, Non - disintegration,,,
24, National Solidarity Perpetuation Sovereignty, National Solidarity Perpetuation Sovereignty,,,
27, Tranquility Committee, Tranquility Committee,,Peace Committee,
28, Peace Facilitating Committee, Peace Facilitating Committee,,Peace Committee,
30, Panglong Agreement, Panglong Agreement,,Law,
31, Kachin Hill Tribes Regulation, Kachin Hill Tribes Regulation,,Law,
32, Government Burma Act, Government Burma Act,,Law,
34, Panglong Conference, Panglong Conference,,Peace Talks,
35,General Aung San,Government of the Republic of the Union of Myanmar,Gov. of Myanmar,Government,
40, Environment , Environment ,,,
42, Unlawful Association Act, Unlawful Association Act,,Law,
44,Government of the Republic of the Union of Myanmar,Government of the Republic of the Union of Myanmar,Gov. of Myanmar,Government,
48, National Human Rights Commission, National Human Rights Commission,,Government Group,
54, Burma Army, Burma Army,,Military,
58, Thantlang Township, Thantlang Township,,Location,
59, Vanzang, Vanzang,,Location,
60, Lungding, Lungding,,Location,
61, Belhar, Belhar,,Location,
62, Lulpilung Village Tracts, Lulpilung Village Tracts,,Location,
63, Tedim Township, Tedim Township,,Location,
68, Battalion, Battalion,,Location,
73, Non Governmental Organizations, Non Governmental Organizations,,International NGOs and Intergovernmental Organizations,
78, International Non- Governmental Organizations, International Non- Governmental Organizations,,International NGOs and Intergovernmental Organizations,
87, Community Radio, Community Radio,,Civil Society,
89, Chins, Chins,,,
97, Tonzang Township, Tonzang Township,,Location,
98, Paletwa Township, Paletwa Township,,Location,
101, Social Cultural Matters, Social Cultural Matters,,,
116, Naypyidaw, Naypyidaw,,Location,
117, Yangon, Yangon,,Location,
118, Mandalay, Mandalay,,Location,
119, Kalay, Kalay,,Location,
120, Sittwe, Sittwe,,Location,
121, Seih, Seih,,Location,
123,Ethnic Armed Organizations (EAO),Ethnic Armed Organizations (EAO),EAO,EAO,
126, Nationwide Ceasefire Agreement, Nationwide Ceasefire Agreement,,Peace Talks,
128, Reach, Reach,,,
130, c. Discuss, c. Discuss,,,
